"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"68","Dear Anggota DPRD DKI, Kenapa Anda Tidak Bisa Lengserkan Ahok? http://t.co/50DAcyQekm",FALSE,1,NA,2015-04-28 02:21:05,FALSE,NA,"592876157634228224",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",9,FALSE,FALSE,NA,NA
"69","Ada Fir'aun dan Namrud di Jakarta http://t.co/yuuekqyHpZ",FALSE,0,NA,2015-04-28 02:01:05,FALSE,NA,"592871124712738817",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",6,FALSE,FALSE,NA,NA
"70","'Selasa Tanpa Rokok' Ridwan Kamil Didukung Netizen http://t.co/QiesihKonZ",FALSE,1,NA,2015-04-28 01:48:47,FALSE,NA,"592868028985008128",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",3,FALSE,FALSE,NA,NA
"71","Dear Anggota DPRD DKI, Kenapa Anda Tidak Bisa Lengserkan Ahok? http://t.co/5AvHq9xTDd",FALSE,1,NA,2015-04-28 01:48:47,FALSE,NA,"592868028003549184",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",11,FALSE,FALSE,NA,NA
"72","Islam Indonesia Dihancurkan http://t.co/sga1fNTcU5",FALSE,1,NA,2015-04-28 01:48:47,FALSE,NA,"592868026992721921",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",10,FALSE,FALSE,NA,NA
"73","Wow! Ratusan Mahasiswa Solo Daftar Sebagai Relawan Penjemput Jokowi http://t.co/nK0SD16UrH",FALSE,1,NA,2015-04-28 01:48:46,FALSE,NA,"592868025214357504",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",7,FALSE,FALSE,NA,NA
"74","'Sejak Awal Rakyat Sudah Salah Pilih Jokowi' http://t.co/syPxDaWkOG",FALSE,4,NA,2015-04-28 01:48:46,FALSE,NA,"592868024128012288",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",9,FALSE,FALSE,NA,NA
"75","'Selasa Tanpa Rokok' Ridwan Kamil Didukung Netizen http://t.co/r8wRxXKhIl",FALSE,1,NA,2015-04-28 01:31:35,FALSE,NA,"592863699888644098",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",7,FALSE,FALSE,NA,NA
"76","Dear Anggota DPRD DKI, Kenapa Anda Tidak Bisa Lengserkan Ahok? http://t.co/vr0fltAkES",FALSE,0,NA,2015-04-28 01:27:35,FALSE,NA,"592862693029224448",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",5,FALSE,FALSE,NA,NA
"77","Islam Indonesia Dihancurkan http://t.co/iYbhbeB3zk",FALSE,1,NA,2015-04-28 01:15:36,FALSE,NA,"592859678075428864",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",5,FALSE,FALSE,NA,NA
"78","Wow! Ratusan Mahasiswa Solo Daftar Sebagai Relawan Penjemput Jokowi http://t.co/BCnm2RF8PZ",FALSE,0,NA,2015-04-28 01:15:36,FALSE,NA,"592859675420401664",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",9,FALSE,FALSE,NA,NA
"79","'Sejak Awal Rakyat Sudah Salah Pilih Jokowi' http://t.co/rv9ZkrTZQY",FALSE,0,NA,2015-04-28 01:15:35,FALSE,NA,"592859673734316033",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",4,FALSE,FALSE,NA,NA
"80","Beginilah Cara Jokowi Menipu Buya Syafii http://t.co/iQ801sK9M2",FALSE,2,NA,2015-04-28 01:15:35,FALSE,NA,"592859672174010368",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",9,FALSE,FALSE,NA,NA
"81","Today stats: 92 followers, 23 unfollowers via http://t.co/qJpDnkOBm5",FALSE,0,NA,2015-04-28 01:13:19,FALSE,NA,"592859103862640640",NA,"<a href=""https://unfollowers.com"" rel=""nofollow"">Unfollowers</a>","maspiyungan",0,FALSE,FALSE,NA,NA
